,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,
part_id,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process
U612 B14P,67,1,HF010,74,1,HF020,91,1,HF031,107,5,HA011,115,8,HA031,121,5,HA021,129,9,HA041,143,3,FB021,151,1,HL011,,,Sink,,,,,,,,,
U611 H22C,70,1,HF010,77,1,HF020,92,1,HF031,106,4,HA031,106,8,HA011,112,4,HA041,116,8,FB021,129,1,HL023,,,Sink,,,,,,,,,,,,
U612 S14P,70,1,HF010,77,1,HF020,92,1,HF031,106,13,HA011,116,23,HA031,134,5,HA021,148,10,HA041,162,4,FB021,176,8,PB011,199,1,PS023,200,1,HL023,,,Sink,,,
U611 B59P,70,1,HF010,77,1,HF020,92,1,HF031,112,6,HA011,121,12,HA031,133,9,HA021,137,5,FB011,143,14,HA041,164,3,FB021,176,7,PB011,196,1,HL034,,,Sink,,,
U611 D12P,70,1,HF010,77,1,HF020,92,1,HF031,109,5,HA011,119,7,HA031,121,11,HA021,129,1,FB011,133,8,HA041,144,5,FB021,157,6,PB011,172,1,PS023,175,1,HL023,,,Sink
U611 D12S,70,1,HF010,77,1,HF020,92,1,HF031,108,5,HA011,116,7,HA031,120,11,HA021,128,1,FB011,130,8,HA041,143,4,FB021,156,5,PB011,172,1,PS023,175,1,HL023,,,Sink
U611 H21C,70,1,HF010,77,1,HF020,92,1,HF031,106,4,HA031,106,7,HA011,112,4,HA041,116,8,FB021,129,1,HL023,,,Sink,,,,,,,,,,,,
U611 B13S,70,5,HA011,78,8,HA031,93,9,HA041,106,3,FB021,112,1,HL011,,,Sink,,,,,,,,,,,,,,,,,,,,,
U611 H23C,70,1,HF010,77,1,HF020,92,1,HF031,106,4,HA031,106,8,HA011,112,4,HA041,116,8,FB021,129,1,HL023,,,Sink,,,,,,,,,,,,
U611 L11C,71,1,HF010,78,1,HF020,93,1,HF031,108,6,HA021,119,8,HA041,129,2,FB021,149,2,PS023,151,1,HL023,,,Sink,,,,,,,,,,,,
U612 S14S,71,1,HF010,78,1,HF020,93,1,HF031,109,13,HA011,121,23,HA031,137,5,HA021,151,10,HA041,165,5,FB021,182,8,PB011,203,1,PS023,204,1,HL023,,,Sink,,,
U613 A22C,71,1,HF010,78,1,HF020,93,1,HF031,105,15,HA011,119,24,HA031,149,2,FB011,154,17,HA041,177,4,FB021,196,8,PB011,225,1,PS023,226,1,HL023,,,Sink,,,
U612 S15P,71,1,HF010,78,1,HF020,93,1,HF031,107,13,HA011,119,21,HA031,135,11,HA021,140,3,FB011,149,10,HA041,163,4,FB021,179,7,PB011,199,1,PS023,200,1,HL023,,,Sink
U612 B15P,71,1,HF010,78,1,HF020,93,1,HF031,109,5,HA011,119,8,HA031,123,10,HA021,133,9,HA041,148,3,FB021,154,1,HL011,,,Sink,,,,,,,,,
U611 F33C,71,1,HF010,78,1,HF020,93,1,HF031,119,10,HA031,123,14,HA021,133,2,FB011,136,13,HA041,157,4,FB021,163,1,HL011,,,Sink,,,,,,,,,
U612 B15S,71,1,HF010,78,1,HF020,93,1,HF031,112,5,HA011,120,8,HA031,128,3,HA021,134,9,HA041,149,3,FB021,154,1,HL011,,,Sink,,,,,,,,,
U611 D13P,71,1,HF010,78,1,HF020,93,1,HF031,123,5,HA021,133,1,FB011,135,8,HA041,149,4,FB021,158,6,PB011,172,1,PS023,175,1,HL023,,,Sink,,,,,,
U612 E23S,71,1,HF010,78,1,HF020,93,1,HF031,107,5,HA021,121,8,HA041,133,2,FB021,135,1,HL011,,,Sink,,,,,,,,,,,,,,,
U612 A21P,72,1,HF010,79,1,HF020,94,1,HF031,105,10,HA011,120,14,HA031,127,20,HA021,140,2,FB011,144,12,HA041,163,4,FB021,172,1,HL011,,,Sink,,,,,,
U612 E52S,72,1,HF010,79,1,HF020,94,1,HF031,109,12,HA011,126,12,HA031,134,14,HA021,143,2,FB011,149,10,HA041,163,8,FB021,185,6,PB011,199,1,PS023,200,1,HL023,,,Sink
U613 F41P,72,1,HF010,79,1,HF020,94,1,HF031,107,15,HA011,120,17,HA031,128,10,HA021,134,2,FB011,137,16,HA041,163,5,FB021,175,6,PB011,193,1,PS023,196,1,HL023,,,Sink
U612 B16S,72,1,HF010,79,1,HF020,94,1,HF031,113,5,HA011,121,8,HA031,129,3,HA021,135,9,HA041,150,3,FB021,156,1,HL011,,,Sink,,,,,,,,,
U611 T17S,72,1,HF010,79,1,HF020,94,1,HF031,116,6,HA021,127,8,HA041,137,3,FB021,163,1,PS023,164,1,HL023,,,Sink,,,,,,,,,,,,
